"SETTLEMENTDATE","REGIONID","TOTALDEMAND","SS_SOLAR_UIGF","SS_WIND_UIGF","SS_SOLAR_CLEAREDMW","SS_WIND_CLEAREDMW"
2026-08-31 01:00:00,QLD1,5565.60000,0.00000,1637.85064,0.00000,1637.85064
2026-08-31 01:00:00,SA1,1463.59000,0.00000,650.38549,0.00000,650.38549
2026-08-31 01:00:00,TAS1,934.86000,0.00000,265.11722,0.00000,265.11722
2026-08-31 01:00:00,VIC1,5124.13000,0.00000,199.71260,0.00000,199.71260
2026-08-31 01:05:00,NSW1,7352.90000,0.00000,274.31340,0.00000,274.31340
2026-08-31 01:05:00,QLD1,5532.74000,0.00000,1621.70786,0.00000,1621.70786
2026-08-31 01:05:00,SA1,1451.01000,0.00000,677.80758,0.00000,677.80758
2026-08-31 01:05:00,TAS1,941.55000,0.00000,259.52108,0.00000,259.52108
2026-08-31 01:05:00,VIC1,5102.07000,0.00000,193.58635,0.00000,193.58635
2026-08-31 01:10:00,NSW1,7248.89000,0.00000,276.32400,0.00000,276.32400
2026-08-31 01:10:00,QLD1,5588.78000,0.00000,1623.19561,0.00000,1623.19561
2026-08-31 01:10:00,SA1,1418.83000,0.00000,693.80649,0.00000,693.80649
2026-08-31 01:10:00,TAS1,937.47000,0.00000,265.23911,0.00000,265.23911
2026-08-31 01:10:00,VIC1,5176.70000,0.00000,175.44898,0.00000,175.44898
2026-08-31 01:15:00,NSW1,7213.09000,0.00000,276.53410,0.00000,276.53410
2026-08-31 01:15:00,QLD1,5547.14000,0.00000,1625.36290,0.00000,1625.36290
2026-08-31 01:15:00,SA1,1406.94000,0.00000,697.71220,0.00000,697.71220
2026-08-31 01:15:00,TAS1,939.68000,0.00000,263.04990,0.00000,263.04990
2026-08-31 01:15:00,VIC1,5161.05000,0.00000,160.75413,0.00000,160.75413
2026-08-31 01:20:00,NSW1,7242.24000,0.00000,268.36130,0.00000,268.36130
2026-08-31 01:20:00,QLD1,5501.17000,0.00000,1593.15060,0.00000,1593.15060
2026-08-31 01:20:00,SA1,1401.27000,0.00000,711.91655,0.00000,711.91655
2026-08-31 01:20:00,TAS1,940.69000,0.00000,254.98601,0.00000,254.98601
2026-08-31 01:20:00,VIC1,5069.98000,0.00000,159.74383,0.00000,159.74383
2026-08-31 01:25:00,NSW1,7208.55000,0.00000,263.57580,0.00000,263.57580
2026-08-31 01:25:00,QLD1,5483.92000,0.00000,1578.41698,0.00000,1578.41698
2026-08-31 01:25:00,SA1,1394.48000,0.00000,734.17128,0.00000,734.17128
2026-08-31 01:25:00,TAS1,937.75000,0.00000,249.94208,0.00000,249.94208
2026-08-31 01:25:00,VIC1,5046.95000,0.00000,153.88400,0.00000,153.88400
2026-08-31 01:30:00,NSW1,7142.26000,0.00000,262.80730,0.00000,262.80730
2026-08-31 01:30:00,QLD1,5453.45000,0.00000,1611.99551,0.00000,1611.99551
2026-08-31 01:30:00,SA1,1383.81000,0.00000,754.71479,0.00000,754.71479
2026-08-31 01:30:00,TAS1,932.57000,0.00000,256.18031,0.00000,256.18031
2026-08-31 01:30:00,VIC1,5041.56000,0.00000,144.04966,0.00000,144.04966
2026-08-31 01:35:00,NSW1,7127.12000,0.00000,271.31800,0.00000,271.31800
2026-08-31 01:35:00,QLD1,5475.45000,0.00000,1614.74626,0.00000,1614.74626
2026-08-31 01:35:00,SA1,1394.30000,0.00000,775.14158,0.00000,775.14158
2026-08-31 01:35:00,TAS1,927.69000,0.00000,246.85311,0.00000,246.85311
2026-08-31 01:35:00,VIC1,5063.54000,0.00000,134.89387,0.00000,134.89387
